medicinalproduct,activesubstancename,rancount,activesubstancecount,source
VITAMINS (MULTIPLE)/IRON,IRON\VITAMINS,2.013,72,faers
MULTIVITAMIN WITH IRON,IRON\VITAMINS,16.013,72,faers
MULTIVITAMINS WITH IRON,IRON\VITAMINS,27.013,72,faers
MULTI VITAMIN / IRON,IRON\VITAMINS,1.013,72,faers
IRON W/VITAMINS NOS,IRON\VITAMINS,4.013,72,faers
THORAZINE,CHLORPROMAZINE,36.014,763,faers
LARGACTIL - 25 MG COMPRESSE RIVESTITE CON FILM - TEOFARMA S.R.L.,CHLORPROMAZINE,2.014,763,faers
LARGACTIL ^25 MG COMPRESSE RIVESTITE CON FILM^ 25 COMPRESSE - ( TEOFAR,CHLORPROMAZINE,1.014,763,faers
LARGACTIL 25 MG,CHLORPROMAZINE,1.014,763,faers
LARGACTIL /00011901/,CHLORPROMAZINE,3.014,763,faers
LARGACTIL                          /00011901/,CHLORPROMAZINE,10.014,763,faers
LARGACTIL,CHLORPROMAZINE,34.014,763,faers
CONTOMIN,CHLORPROMAZINE,35.014,763,faers
CLORPROMAZINE,CHLORPROMAZINE,1.014,763,faers
CHLORPROMAZINE (NGX),CHLORPROMAZINE,1.014,763,faers
CHLORPROMAZINE HCL TABLETS USP,CHLORPROMAZINE,1.014,763,faers
CHLORPROMAZINE (CHLORPROMAZINE),CHLORPROMAZINE,5.014,763,faers
CHLORPROMAZINE 25MG,CHLORPROMAZINE,3.014,763,faers
CHLORPROMAZINE 200MG UPSHIRE SMITH,CHLORPROMAZINE,1.014,763,faers
CHLORPROMAZINE 100MG UPSHIRE SMITH,CHLORPROMAZINE,1.014,763,faers
CHLORPROMAZINE.,CHLORPROMAZINE,18.014,763,faers
CHLORPROMAZINE,CHLORPROMAZINE,24.014,763,faers
PRIMROSE EXTRACT.,PRIMROSE EXTRACT,3.016,3,faers
BELLADONNA EXTRACT W/PHENOBARBITONE,BELLADONNA LEAF\PHENOBARBITAL,1.029,2,faers
BELLADENAL,BELLADONNA LEAF\PHENOBARBITAL,1.029,2,faers
PIVAMPICILLIN,PIVAMPICILLIN,2.013,4,faers
EFFERVESCENT ANTACID + PAIN RELIEF ASPIRIN 325MG. SODIUM BICARBONATE 1916MG EQUATE,ANHYDROUS CITRIC ACID\ASPIRIN\SODIUM BICARBONATE,1.048,169,faers
ALKA-SELTZER XTRA STRENGTH,ANHYDROUS CITRIC ACID\ASPIRIN\SODIUM BICARBONATE,1.048,169,faers
ALKA-SELTZER ORIGINAL,ANHYDROUS CITRIC ACID\ASPIRIN\SODIUM BICARBONATE,35.048,169,faers
ALKA-SELTZER LEMON LIME,ANHYDROUS CITRIC ACID\ASPIRIN\SODIUM BICARBONATE,4.048,169,faers
ALKA SELTZER,ANHYDROUS CITRIC ACID\ASPIRIN\SODIUM BICARBONATE,37.048,169,faers
ZINC PICOLINATE,ZINC PICOLINATE,6.015,6,faers
ACETYLSALICYLATE SODIUM,ASPIRIN SODIUM,1.014,1,faers
CLENBUTEROL,CLENBUTEROL,7.011,8,faers
PSYLIA,PLANTAGO AFRA SEED,2.018,2,faers
POTASSIUM GLUCONATE (POTASSIUM GLUCONATE) UNKNOWN,POTASSIUM GLUCONATE,1.019,250,faers
POTASSIUM GLUCONATE,POTASSIUM GLUCONATE,40.019,250,faers
K GLUCONATE,POTASSIUM GLUCONATE,3.019,250,faers
TALCID BAYER,HYDROTALCITE,1.012,8,faers
TALCID,HYDROTALCITE,3.012,8,faers
HYDROTALCITE,HYDROTALCITE,4.012,8,faers
HESPERIDIN,HESPERIDIN,5.01,24,faers
DIOSMINE,HESPERIDIN,15.01,24,faers
MOMELOTINIB,MOMELOTINIB,1.011,1,faers
GAMMA-BUTYROLACTONE,BUTYROLACTONE,1.013,1,faers
REGELAN//METOCLOPRAMIDE,METOCLOPRAMIDE,1.014,3252,faers
PMS-METOCLOPRAMIDE,METOCLOPRAMIDE,2.014,3252,faers
PLASIL (METOCLOPRAMIDE),METOCLOPRAMIDE,2.014,3252,faers
PLASIL /00041901/,METOCLOPRAMIDE,1.014,3252,faers
PLASIL                             /00041901/,METOCLOPRAMIDE,17.014,3252,faers
PERAPRIN,METOCLOPRAMIDE,12.014,3252,faers
METOCLOPROMIDE 10,METOCLOPRAMIDE,1.014,3252,faers
METOCLOPROMIDE,METOCLOPRAMIDE,5.014,3252,faers
METOCLOPRAMID (NON-SPECIFIC),METOCLOPRAMIDE,1.014,3252,faers
METOCLOPRAMIDE (UNKNOWN),METOCLOPRAMIDE,23.014,3252,faers
METOCLOPRAMIDE TABLET 10MG,METOCLOPRAMIDE,3.014,3252,faers
METOCLOPRAMIDE SANDOZ,METOCLOPRAMIDE,1.014,3252,faers
METOCLOPRAMIDE RENAUDIN,METOCLOPRAMIDE,1.014,3252,faers
METOCLOPRAMIDE (NON-SPECIFIC),METOCLOPRAMIDE,1.014,3252,faers
"METOCLOPRAMIDE MYLAN 10 MG, COMPRIM? S?CABLE",METOCLOPRAMIDE,1.014,3252,faers
METOCLOPRAMIDE (METOCLOPRAMIDE) UNKNOWN,METOCLOPRAMIDE,2.014,3252,faers
"METOCLOPRAMIDE (METOCLOPRAMIDE) INJECTION, 5MG/ML",METOCLOPRAMIDE,4.014,3252,faers
METOCLOPRAMIDE(METOCLOPRAMIDE),METOCLOPRAMIDE,1.014,3252,faers
METOCLOPRAMIDE (METOCLOPRAMIDE),METOCLOPRAMIDE,17.014,3252,faers
METOCLOPRAMIDE (MANUFACTURER UNKNOWN),METOCLOPRAMIDE,1.014,3252,faers
"METOCLOPRAMIDE INJECTION, USP, 5MG/ML FLIPTOP VIAL (METOCLOPRAMIDE)",METOCLOPRAMIDE,1.014,3252,faers
"METOCLOPRAMIDE 5 MG/ML PHARMACEUTICAL ASSOCIATES, INC.",METOCLOPRAMIDE,1.014,3252,faers
METOCLOPRAMIDE 10 MG,METOCLOPRAMIDE,3.014,3252,faers
METOCLOPRAMIDE.,METOCLOPRAMIDE,39.014,3252,faers
METOCLOPRAMID,METOCLOPRAMIDE,25.014,3252,faers
METOCLOPRAM,METOCLOPRAMIDE,24.014,3252,faers
METACLOPRAMIDE,METOCLOPRAMIDE,9.014,3252,faers
MCP-TROPFEN,METOCLOPRAMIDE,1.014,3252,faers
MCP TROPFEN,METOCLOPRAMIDE,3.014,3252,faers
MCP-RATIOPHARM 10 MG ZAEPFCHEN,METOCLOPRAMIDE,1.014,3252,faers
MCP-RATIOPHARM 10 MG TABLETTEN,METOCLOPRAMIDE,1.014,3252,faers
MCP-CT,METOCLOPRAMIDE,1.014,3252,faers
ELIETEN /00041901/,METOCLOPRAMIDE,1.014,3252,faers
ELIETEN,METOCLOPRAMIDE,15.014,3252,faers
CLOPRAM METOCLOPRAMIDE,METOCLOPRAMIDE,1.014,3252,faers
CLOPAMON,METOCLOPRAMIDE,2.014,3252,faers
APO-METOCLOPRAMIDE,METOCLOPRAMIDE,1.014,3252,faers
STER-DEX,DEXAMETHASONE\OXYTETRACYCLINE,1.029,10,faers
STERDEX,DEXAMETHASONE\OXYTETRACYCLINE,8.029,10,faers
DEXTROSE IN RINGERS,CALCIUM CHLORIDE\DEXTROSE\POTASSIUM CHLORIDE\SODIUM CHLORIDE,1.06,1,faers
IFOSFAMIDE W/MESNA,IFOSFAMIDE\MESNA,2.016,11,faers
IFOSFAMIDE WITH MESNA,IFOSFAMIDE\MESNA,1.016,11,faers
IFOSFAMIDE/MESNA,IFOSFAMIDE\MESNA,1.016,11,faers
IFOSFAMIDE AND MESNA,IFOSFAMIDE\MESNA,2.016,11,faers
HOLOXAN-UROMITEXAN,IFOSFAMIDE\MESNA,1.016,11,faers
COPPERTONE TANNING DRY OIL SPF 10,HOMOSALATE\OCTINOXATE\OCTISALATE\OXYBENZONE,1.043,11,faers
COPPERTONE DRY SPF 10,HOMOSALATE\OCTINOXATE\OCTISALATE\OXYBENZONE,2.043,11,faers
AVEENO ACTIVE NATURALS POSITIVELY RADIANT TINTED MOISTURIZER SPF 30 FAIR/LIGHT,HOMOSALATE\OCTINOXATE\OCTISALATE\OXYBENZONE,1.043,11,faers
AVEENO ACTIVE NATURALS CLEAR COMPLEXION BB SUNSCREEN BROAD SPECTRUM SPF30,HOMOSALATE\OCTINOXATE\OCTISALATE\OXYBENZONE,2.043,11,faers
OCTINOXATE AND MERADIMATE AND TITANIUM DIOXIDE,MERADIMATE\OCTINOXATE\TITANIUM DIOXIDE,1.038,1,faers
MONOFER,IRON ISOMALTOSIDE 1000,4.022,4,faers
25C-NBOME (25C-NBOME) CAPSULE,"4-CHLORO-2,5-DIMETHOXY-N-(2-METHOXYBENZYL)PHENETHYLAMINE",1.056,2,faers
25C- NBOME,"4-CHLORO-2,5-DIMETHOXY-N-(2-METHOXYBENZYL)PHENETHYLAMINE",1.056,2,faers
DURASEAL,BOVINE TYPE I COLLAGEN,1.022,1,faers
NAFTIFINE,NAFTIFINE,1.009,2,faers
VOSPIRE ER,ALBUTEROL SULFATE,4.017,20294,faers
VOLMAX,ALBUTEROL SULFATE,5.017,20294,faers
VENTOLIN P.F.,ALBUTEROL SULFATE,1.017,20294,faers
VENTOLIN HFA,ALBUTEROL SULFATE,42.017,20294,faers
VENTOLIN EVOHALER 100MCG/INHALATION,ALBUTEROL SULFATE,1.017,20294,faers
VENTOLINE EVOHALER,ALBUTEROL SULFATE,7.017,20294,faers
VENTOLINE BABY HALER,ALBUTEROL SULFATE,1.017,20294,faers
VENTOLIN,ALBUTEROL SULFATE,45.017,20294,faers
VENTILASTIN,ALBUTEROL SULFATE,4.017,20294,faers
VENETLIN,ALBUTEROL SULFATE,15.017,20294,faers
SULTANOL,ALBUTEROL SULFATE,26.017,20294,faers
SALSOL,ALBUTEROL SULFATE,2.017,20294,faers
SALBUTAMOL SULPHATE INHALATIONAL POWDER,ALBUTEROL SULFATE,5.017,20294,faers
SALBUTAMOL SULPHATE,ALBUTEROL SULFATE,34.017,20294,faers
SALBUTAMOL SULFATE,ALBUTEROL SULFATE,34.017,20294,faers
SALBUTAMOCICLESONIDE,ALBUTEROL SULFATE,1.017,20294,faers
SALBUMOL FORT,ALBUTEROL SULFATE,1.017,20294,faers
SALBUMOL,ALBUTEROL SULFATE,4.017,20294,faers
SALBULAIR,ALBUTEROL SULFATE,1.017,20294,faers
RATIO-SALBUTAMOL HFA,ALBUTEROL SULFATE,1.017,20294,faers
PROVENTIL INHALATIONAL POWDER,ALBUTEROL SULFATE,3.017,20294,faers
PROVENTIL HFA,ALBUTEROL SULFATE,41.017,20294,faers
PROAIR RESPICLICK,ALBUTEROL SULFATE,16.017,20294,faers
PROAIR HFA,ALBUTEROL SULFATE,45.017,20294,faers
BLINDED SALBUTAMOL SULPHATE,ALBUTEROL SULFATE,6.017,20294,faers
ASMOL CFC FREE,ALBUTEROL SULFATE,1.017,20294,faers
ASMOL,ALBUTEROL SULFATE,6.017,20294,faers
ALBUTEROL SULFATE TABLETS USP,ALBUTEROL SULFATE,14.017,20294,faers
ALBUTEROL SULFATE SYRUP 2MG/5ML,ALBUTEROL SULFATE,1.017,20294,faers
ALBUTEROL SULFATE SOLUTION FOR INHALATION,ALBUTEROL SULFATE,2.017,20294,faers
ALBUTEROL SULFATE (SALBUTAMOL SULFATE),ALBUTEROL SULFATE,12.017,20294,faers
ALBUTEROL SULFATE (RITEDOSE),ALBUTEROL SULFATE,2.017,20294,faers
ALBUTEROL SULFATE NEBULISER SUSPENSION,ALBUTEROL SULFATE,1.017,20294,faers
ALBUTEROL SULFATE NEBULISER SOLUTION,ALBUTEROL SULFATE,7.017,20294,faers
"ALBUTEROL SULFATE INHALATION SOLUTION, 0.5%",ALBUTEROL SULFATE,2.017,20294,faers
ALBUTEROL SULFATE INHALATION SOLUTION 0.5%,ALBUTEROL SULFATE,1.017,20294,faers
"ALBUTEROL SULFATE INHALATION SOLUTION, 0.083%",ALBUTEROL SULFATE,12.017,20294,faers
"ALBUTEROL SULFATE INHALATION SOLUTION, 0.042%",ALBUTEROL SULFATE,3.017,20294,faers
ALBUTEROL SULFATE INHALATION SOLUTION,ALBUTEROL SULFATE,6.017,20294,faers
ALBUTEROL SULFATE INHALATIONAL POWDER,ALBUTEROL SULFATE,3.017,20294,faers
ALBUTEROL SULFATE ER,ALBUTEROL SULFATE,3.017,20294,faers
ALBUTEROL SULFATE (AMALLC),ALBUTEROL SULFATE,5.017,20294,faers
ALBUTEROL SULFATE 0.083% INHALATION SOLUTION,ALBUTEROL SULFATE,1.017,20294,faers
ALBUTEROL SULFATE.,ALBUTEROL SULFATE,43.017,20294,faers
ALBUTEROL NEBULIZER NEBULISER SOLUTION,ALBUTEROL SULFATE,5.017,20294,faers
ALBUTEROL NEBULISER SOLUTION,ALBUTEROL SULFATE,20.017,20294,faers
ALBUTEROL HFA,ALBUTEROL SULFATE,41.017,20294,faers
AIROMIR AUTOHALER 100 MICROGRAMS/DOSE,ALBUTEROL SULFATE,1.017,20294,faers
AIROMIR AUTOHALER 100 MCG/DOSE,ALBUTEROL SULFATE,1.017,20294,faers
AIROMIR AUTOHALER,ALBUTEROL SULFATE,5.017,20294,faers
AIROMIR,ALBUTEROL SULFATE,22.017,20294,faers
AEROLIN NEBULES,ALBUTEROL SULFATE,3.017,20294,faers
ACCUNEB,ALBUTEROL SULFATE,6.017,20294,faers
0.083% ALBUTEROL SULFATE INHALATION SOLUTION,ALBUTEROL SULFATE,1.017,20294,faers
ZELTREX,VALACYCLOVIR HYDROCHLORIDE,6.026,5670,faers
ZELIVIRE,VALACYCLOVIR HYDROCHLORIDE,1.026,5670,faers
ZELITREX (VALACICLOVIR HYDROCHLORIDE) (VALACICLOVIR HYDROCHLORIDE),VALACYCLOVIR HYDROCHLORIDE,2.026,5670,faers
ZELITREX (UNKNOWN) (VALACICLOVIR HYDROCHLORIDE),VALACYCLOVIR HYDROCHLORIDE,1.026,5670,faers
ZELITREX 500 MG,VALACYCLOVIR HYDROCHLORIDE,5.026,5670,faers
ZELITREX                           /01269701/,VALACYCLOVIR HYDROCHLORIDE,3.026,5670,faers
ZELITREX,VALACYCLOVIR HYDROCHLORIDE,44.026,5670,faers
VANCYCLOVIR 500MG AUROBINDO,VALACYCLOVIR HYDROCHLORIDE,1.026,5670,faers
VALTREX 1 GM GENERIC 1 GRAM WPL 3248 *ON LABEL,VALACYCLOVIR HYDROCHLORIDE,1.026,5670,faers
VALTREX,VALACYCLOVIR HYDROCHLORIDE,43.026,5670,faers
VALACYCLOVIR (VALACYCLOVIR),VALACYCLOVIR HYDROCHLORIDE,1.026,5670,faers
VALACYCLOVIR TABLETS USP 500 MG MYLAN PHARMACEUTICALS INC,VALACYCLOVIR HYDROCHLORIDE,1.026,5670,faers
VALACYCLOVIR TABLETS USP,VALACYCLOVIR HYDROCHLORIDE,4.026,5670,faers
VALACYCLOVIR HYDROCHLORIDE (WATSON LABORATORIES),VALACYCLOVIR HYDROCHLORIDE,1.026,5670,faers
VALACYCLOVIR HYDROCHLORIDE (VALACICLOVIR HYDROCHLORIDE),VALACYCLOVIR HYDROCHLORIDE,1.026,5670,faers
VALACYCLOVIR HYDROCHLORIDE (UNKNOWN),VALACYCLOVIR HYDROCHLORIDE,2.026,5670,faers
VALACYCLOVIR HYDROCHLORIDE CAPSULE,VALACYCLOVIR HYDROCHLORIDE,1.026,5670,faers
VALACYCLOVIR HYDROCHLORIDE.,VALACYCLOVIR HYDROCHLORIDE,37.026,5670,faers
VALACYCLOVIR HCL PHARMA PAC,VALACYCLOVIR HYDROCHLORIDE,9.026,5670,faers
VALACYCLOVIR HCL 1 GRAM TABLET,VALACYCLOVIR HYDROCHLORIDE,1.026,5670,faers
VALACYCLOVIR HCL,VALACYCLOVIR HYDROCHLORIDE,38.026,5670,faers
VALACYCLOVIR 500 MG TEVA,VALACYCLOVIR HYDROCHLORIDE,3.026,5670,faers
VALACYCLOVIR 500MG MYLAN,VALACYCLOVIR HYDROCHLORIDE,2.026,5670,faers
VALACYCLOVIR,VALACYCLOVIR HYDROCHLORIDE,37.026,5670,faers
VALACYCLOVAR,VALACYCLOVIR HYDROCHLORIDE,1.026,5670,faers
VALACICLOVIR WINTHROP,VALACYCLOVIR HYDROCHLORIDE,1.026,5670,faers
VALACICLOVIR (UNKNOWN),VALACYCLOVIR HYDROCHLORIDE,3.026,5670,faers
VALACICLOVIRUM,VALACYCLOVIR HYDROCHLORIDE,3.026,5670,faers
VALACICLOVIR TEVA 500 MG FILM-COATED TABLET,VALACYCLOVIR HYDROCHLORIDE,1.026,5670,faers
VALACICLOVIR TEVA 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,VALACYCLOVIR HYDROCHLORIDE,1.026,5670,faers
VALACICLOVIR SANDOZ,VALACYCLOVIR HYDROCHLORIDE,3.026,5670,faers
VALACICLOVIR ORION,VALACYCLOVIR HYDROCHLORIDE,1.026,5670,faers
VALACICLOVIR MYLAN 500 MG COMPRIM? PELLICUL?,VALACYCLOVIR HYDROCHLORIDE,1.026,5670,faers
VALACICLOVIR HYDROCHLORIDE TABLET,VALACYCLOVIR HYDROCHLORIDE,5.026,5670,faers
VALACICLOVIR HYDROCHLORIDE CAPSULE,VALACYCLOVIR HYDROCHLORIDE,3.026,5670,faers
VALACICLOVIR HYDROCHLORIDE,VALACYCLOVIR HYDROCHLORIDE,39.026,5670,faers
VALACICLOVIR HCL,VALACYCLOVIR HYDROCHLORIDE,2.026,5670,faers
VALACICLOVIR BLUEFISH,VALACYCLOVIR HYDROCHLORIDE,1.026,5670,faers
VALACICLOVIR BIOGARAN,VALACYCLOVIR HYDROCHLORIDE,1.026,5670,faers
"VALACICLOVIR ALMUS 500 MG, COMPRIME PELLICULE SECABLE",VALACYCLOVIR HYDROCHLORIDE,1.026,5670,faers
VALACICLOVIR ALMUS,VALACYCLOVIR HYDROCHLORIDE,1.026,5670,faers
VALACICLOVIR ACTAVIS,VALACYCLOVIR HYDROCHLORIDE,1.026,5670,faers
VALACICLOVIR 500MG,VALACYCLOVIR HYDROCHLORIDE,1.026,5670,faers
VALACICLOVIR 1000MG,VALACYCLOVIR HYDROCHLORIDE,2.026,5670,faers
VALACICLOVIR,VALACYCLOVIR HYDROCHLORIDE,43.026,5670,faers
TALAVIR - 1G COMPRESSE RIVESTITE CON FILM,VALACYCLOVIR HYDROCHLORIDE,1.026,5670,faers
TALAVIR,VALACYCLOVIR HYDROCHLORIDE,9.026,5670,faers
RAPIVIR,VALACYCLOVIR HYDROCHLORIDE,1.026,5670,faers
BLINDED VALACICLOVIR HYDROCHLORIDE,VALACYCLOVIR HYDROCHLORIDE,1.026,5670,faers
APO-VALACYCLOVIR,VALACYCLOVIR HYDROCHLORIDE,4.026,5670,faers
TEVA ETHYL ESTER OMEGA 3 1GM TEVA,OMEGA-3-ACID ETHYL ESTERS,1.025,2645,faers
OMEGA-3-ACID ETHYL ESTERS USP,OMEGA-3-ACID ETHYL ESTERS,1.025,2645,faers
OMEGA-3-ACID ETHYL ESTERS CAPSULE,OMEGA-3-ACID ETHYL ESTERS,14.025,2645,faers
OMEGA-3-ACID ETHYL ESTERS 1 GRAM,OMEGA-3-ACID ETHYL ESTERS,1.025,2645,faers
OMEGA-3-ACID ETHYL ESTERS.,OMEGA-3-ACID ETHYL ESTERS,37.025,2645,faers
OMEGA-3 ACID ETHYL ESTERS,OMEGA-3-ACID ETHYL ESTERS,3.025,2645,faers
OMEGA 3 ACID ETHYL ESTERS,OMEGA-3-ACID ETHYL ESTERS,3.025,2645,faers
OMEGA-3-ACID ETHYL ESTER,OMEGA-3-ACID ETHYL ESTERS,16.025,2645,faers
OMACOR,OMEGA-3-ACID ETHYL ESTERS,43.025,2645,faers
LOVAZA,OMEGA-3-ACID ETHYL ESTERS,41.025,2645,faers
LOTRIGA,OMEGA-3-ACID ETHYL ESTERS,23.025,2645,faers
IC OMEGA-3 ETHYL ESTERS,OMEGA-3-ACID ETHYL ESTERS,1.025,2645,faers
GENERIC LOVAZA 1 GRAM,OMEGA-3-ACID ETHYL ESTERS,2.025,2645,faers
VIVIN,ASPIRIN,1.007,83967,faers
UNSPECIFIED ACETYLSALICYLIC ACID,ASPIRIN,3.007,83967,faers
UNCOATED ASPIRIN,ASPIRIN,2.007,83967,faers
TROMBYL 75 MG TABLET,ASPIRIN,2.007,83967,faers
TROMBYL,ASPIRIN,41.007,83967,faers
TROMALYT,ASPIRIN,19.007,83967,faers
TIATRAL//ACETYLSALICYLIC ACID,ASPIRIN,1.007,83967,faers
TIATRAL 100 SR,ASPIRIN,1.007,83967,faers
THROMBO ASS (ACETYLSALICYLIC ACID),ASPIRIN,3.007,83967,faers
THROMBO ASS 100 MG FILMTABLETTEN,ASPIRIN,1.007,83967,faers
THROMBO ASS,ASPIRIN,37.007,83967,faers
THROMBOASS,ASPIRIN,1.007,83967,faers
THOMAPYRIN N,ASPIRIN,2.007,83967,faers
T ASS (ACETYLSALICYLIC ACID),ASPIRIN,1.007,83967,faers
ST. JOSEPH ASPIRIN ADULT LOW DOSE,ASPIRIN,1.007,83967,faers
SOLPRIN,ASPIRIN,1.007,83967,faers
SINLO,ASPIRIN,1.007,83967,faers
RIVASA,ASPIRIN,9.007,83967,faers
REGULAR ASPIRIN,ASPIRIN,1.007,83967,faers
PRIMASPAN,ASPIRIN,4.007,83967,faers
POLOCARD,ASPIRIN,18.007,83967,faers
MYOPRIN,ASPIRIN,1.007,83967,faers
MINI-ASPIRIN,ASPIRIN,1.007,83967,faers
MICROPIRIN,ASPIRIN,4.007,83967,faers
MAGNYL DAK,ASPIRIN,2.007,83967,faers
MAGNYL                             /00002701/,ASPIRIN,1.007,83967,faers
MAGNYL,ASPIRIN,8.007,83967,faers
LOW DOSE CHEWABLE ASPIRIN,ASPIRIN,1.007,83967,faers
LOW DOSE BAYER ASPIRIN,ASPIRIN,5.007,83967,faers
LOW DOSE ASPRIN,ASPIRIN,2.007,83967,faers
LOW-DOSE ASPIRIN,ASPIRIN,8.007,83967,faers
LOW DOSE ASPIRIN,ASPIRIN,40.007,83967,faers
HJERDYL,ASPIRIN,12.007,83967,faers
GODAMED,ASPIRIN,8.007,83967,faers
GENUINE BAYER ASPIRIN - 325 MG,ASPIRIN,1.007,83967,faers
GENUINE BAYER ASPIRIN,ASPIRIN,3.007,83967,faers
GENUINE ASPIRIN,ASPIRIN,3.007,83967,faers
GENERIC BABY ASPIRIN,ASPIRIN,1.007,83967,faers
EQUATE ASPIRIN,ASPIRIN,4.007,83967,faers
ENTERIC-COATED ASPIRIN,ASPIRIN,12.007,83967,faers
ENTERIC COATED ASPIRIN,ASPIRIN,22.007,83967,faers
ENTERIC COATED ASA,ASPIRIN,15.007,83967,faers
ENTERIC ASPIRIN,ASPIRIN,17.007,83967,faers
EMPIRIN,ASPIRIN,1.007,83967,faers
ECOTRIN REGULAR STRENGTH,ASPIRIN,1.007,83967,faers
ECOTRIN,ASPIRIN,42.007,83967,faers
ECOSPIRIN,ASPIRIN,1.007,83967,faers
ECOPIRIN,ASPIRIN,8.007,83967,faers
ECASIL,ASPIRIN,2.007,83967,faers
DOMINAL /00002701/,ASPIRIN,1.007,83967,faers
DOMINAL                            /00002701/,ASPIRIN,6.007,83967,faers
DISPRIN [ACETYLSALICYLIC ACID],ASPIRIN,1.007,83967,faers
DISPRIN,ASPIRIN,17.007,83967,faers
CVS ASPIRIN,ASPIRIN,1.007,83967,faers
CHILDRENS CHEWABLE ASPIRIN,ASPIRIN,13.007,83967,faers
CHILDRENS ASPIRIN,ASPIRIN,15.007,83967,faers
CHILDREN^S ASPIRIN,ASPIRIN,13.007,83967,faers
CHEWABLE ASPIRIN,ASPIRIN,3.007,83967,faers
CARTIA                                  /AUS/,ASPIRIN,5.007,83967,faers
CARTIA (ASPIRIN),ASPIRIN,6.007,83967,faers
CARTIA//ACETYLSALICYLIC ACID,ASPIRIN,1.007,83967,faers
CARTIA (ACETYLSALICYLIC ACID),ASPIRIN,3.007,83967,faers
CARDIOPIRIN,ASPIRIN,13.007,83967,faers
CARDIOASPIRINE,ASPIRIN,18.007,83967,faers
CARDIOASPIRIN - BAYER S.P.A.,ASPIRIN,2.007,83967,faers
CARDIOASPIRIN BAYER,ASPIRIN,1.007,83967,faers
CARDIOASPIRIN (ASA),ASPIRIN,8.007,83967,faers
CARDIOASPIRIN (ACETYLSALICYLIC ACID),ASPIRIN,12.007,83967,faers
CARDIOASPIRINA? 100MG TABLET,ASPIRIN,1.007,83967,faers
CARDIOASPIRINA,ASPIRIN,24.007,83967,faers
CARDIOASPIRIN - 100 MG COMPRESSE GASTRORESISTENTI - BAYER S.P.A.,ASPIRIN,8.007,83967,faers
CARDIOASPIRIN - 100 MG COMPRESSE GASTRORESISTENTI - BAYER S.P.A,ASPIRIN,2.007,83967,faers
