"medicinalproduct","activesubstancename"
"ZELITREX","VALACYCLOVIR HYDROCHLORIDE"
"VANCYCLOVIR 500MG AUROBINDO","VALACYCLOVIR HYDROCHLORIDE"
"VALTREX 1 GM GENERIC 1 GRAM WPL 3248 *ON LABEL","VALACYCLOVIR HYDROCHLORIDE"
"VALTREX","VALACYCLOVIR HYDROCHLORIDE"
"VALACYCLOVIR (VALACYCLOVIR)","VALACYCLOVIR HYDROCHLORIDE"
"VALACYCLOVIR TABLETS USP 500 MG MYLAN PHARMACEUTICALS INC","VALACYCLOVIR HYDROCHLORIDE"
"VALACYCLOVIR TABLETS USP","VALACYCLOVIR HYDROCHLORIDE"
"VALACYCLOVIR HYDROCHLORIDE (WATSON LABORATORIES)","VALACYCLOVIR HYDROCHLORIDE"
"VALACYCLOVIR HYDROCHLORIDE (VALACICLOVIR HYDROCHLORIDE)","VALACYCLOVIR HYDROCHLORIDE"
"VALACYCLOVIR HYDROCHLORIDE (UNKNOWN)","VALACYCLOVIR HYDROCHLORIDE"
"VALACYCLOVIR HYDROCHLORIDE CAPSULE","VALACYCLOVIR HYDROCHLORIDE"
"VALACYCLOVIR HYDROCHLORIDE.","VALACYCLOVIR HYDROCHLORIDE"
"VALACYCLOVIR HCL PHARMA PAC","VALACYCLOVIR HYDROCHLORIDE"
"VALACYCLOVIR HCL 1 GRAM TABLET","VALACYCLOVIR HYDROCHLORIDE"
"VALACYCLOVIR HCL","VALACYCLOVIR HYDROCHLORIDE"
"VALACYCLOVIR 500 MG TEVA","VALACYCLOVIR HYDROCHLORIDE"
"VALACYCLOVIR 500MG MYLAN","VALACYCLOVIR HYDROCHLORIDE"
"VALACYCLOVIR","VALACYCLOVIR HYDROCHLORIDE"
"VALACYCLOVAR","VALACYCLOVIR HYDROCHLORIDE"
"VALACICLOVIR WINTHROP","VALACYCLOVIR HYDROCHLORIDE"
"VALACICLOVIR (UNKNOWN)","VALACYCLOVIR HYDROCHLORIDE"
"VALACICLOVIRUM","VALACYCLOVIR HYDROCHLORIDE"
"VALACICLOVIR TEVA 500 MG FILM-COATED TABLET","VALACYCLOVIR HYDROCHLORIDE"
"VALACICLOVIR TEVA 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG","VALACYCLOVIR HYDROCHLORIDE"
"VALACICLOVIR SANDOZ","VALACYCLOVIR HYDROCHLORIDE"
"VALACICLOVIR ORION","VALACYCLOVIR HYDROCHLORIDE"
"VALACICLOVIR MYLAN 500 MG COMPRIM? PELLICUL?","VALACYCLOVIR HYDROCHLORIDE"
"VALACICLOVIR HYDROCHLORIDE TABLET","VALACYCLOVIR HYDROCHLORIDE"
"VALACICLOVIR HYDROCHLORIDE CAPSULE","VALACYCLOVIR HYDROCHLORIDE"
"VALACICLOVIR HYDROCHLORIDE","VALACYCLOVIR HYDROCHLORIDE"
"VALACICLOVIR HCL","VALACYCLOVIR HYDROCHLORIDE"
"VALACICLOVIR BLUEFISH","VALACYCLOVIR HYDROCHLORIDE"
"VALACICLOVIR BIOGARAN","VALACYCLOVIR HYDROCHLORIDE"
"VALACICLOVIR ALMUS 500 MG, COMPRIME PELLICULE SECABLE","VALACYCLOVIR HYDROCHLORIDE"
"VALACICLOVIR ALMUS","VALACYCLOVIR HYDROCHLORIDE"
"VALACICLOVIR ACTAVIS","VALACYCLOVIR HYDROCHLORIDE"
"VALACICLOVIR 500MG","VALACYCLOVIR HYDROCHLORIDE"
"VALACICLOVIR 1000MG","VALACYCLOVIR HYDROCHLORIDE"
"VALACICLOVIR","VALACYCLOVIR HYDROCHLORIDE"
"TALAVIR - 1G COMPRESSE RIVESTITE CON FILM","VALACYCLOVIR HYDROCHLORIDE"
"TALAVIR","VALACYCLOVIR HYDROCHLORIDE"
"RAPIVIR","VALACYCLOVIR HYDROCHLORIDE"
"BLINDED VALACICLOVIR HYDROCHLORIDE","VALACYCLOVIR HYDROCHLORIDE"
"APO-VALACYCLOVIR","VALACYCLOVIR HYDROCHLORIDE"
"TEVA ETHYL ESTER OMEGA 3 1GM TEVA","OMEGA-3-ACID ETHYL ESTERS"
"OMEGA-3-ACID ETHYL ESTERS USP","OMEGA-3-ACID ETHYL ESTERS"
"OMEGA-3-ACID ETHYL ESTERS CAPSULE","OMEGA-3-ACID ETHYL ESTERS"
"OMEGA-3-ACID ETHYL ESTERS 1 GRAM","OMEGA-3-ACID ETHYL ESTERS"
"OMEGA-3-ACID ETHYL ESTERS.","OMEGA-3-ACID ETHYL ESTERS"
"OMEGA-3 ACID ETHYL ESTERS","OMEGA-3-ACID ETHYL ESTERS"
"OMEGA 3 ACID ETHYL ESTERS","OMEGA-3-ACID ETHYL ESTERS"
"OMEGA-3-ACID ETHYL ESTER","OMEGA-3-ACID ETHYL ESTERS"
"OMACOR","OMEGA-3-ACID ETHYL ESTERS"
"LOVAZA","OMEGA-3-ACID ETHYL ESTERS"
"LOTRIGA","OMEGA-3-ACID ETHYL ESTERS"
"IC OMEGA-3 ETHYL ESTERS","OMEGA-3-ACID ETHYL ESTERS"
"GENERIC LOVAZA 1 GRAM","OMEGA-3-ACID ETHYL ESTERS"
"VIVIN","ASPIRIN"
"UNSPECIFIED ACETYLSALICYLIC ACID","ASPIRIN"
"UNCOATED ASPIRIN","ASPIRIN"
"TROMBYL 75 MG TABLET","ASPIRIN"
"TROMBYL","ASPIRIN"
"TROMALYT","ASPIRIN"
"TIATRAL//ACETYLSALICYLIC ACID","ASPIRIN"
"TIATRAL 100 SR","ASPIRIN"
"THROMBO ASS (ACETYLSALICYLIC ACID)","ASPIRIN"
"THROMBO ASS 100 MG FILMTABLETTEN","ASPIRIN"
"THROMBO ASS","ASPIRIN"
"THROMBOASS","ASPIRIN"
"THOMAPYRIN N","ASPIRIN"
"T ASS (ACETYLSALICYLIC ACID)","ASPIRIN"
"ST. JOSEPH ASPIRIN ADULT LOW DOSE","ASPIRIN"
"SOLPRIN","ASPIRIN"
"SINLO","ASPIRIN"
"RIVASA","ASPIRIN"
"REGULAR ASPIRIN","ASPIRIN"
"PRIMASPAN","ASPIRIN"
"POLOCARD","ASPIRIN"
"MYOPRIN","ASPIRIN"
"MINI-ASPIRIN","ASPIRIN"
"MICROPIRIN","ASPIRIN"
"MAGNYL DAK","ASPIRIN"
"MAGNYL                             /00002701/","ASPIRIN"
"MAGNYL","ASPIRIN"
"LOW DOSE CHEWABLE ASPIRIN","ASPIRIN"
"LOW DOSE BAYER ASPIRIN","ASPIRIN"
"LOW DOSE ASPRIN","ASPIRIN"
"LOW-DOSE ASPIRIN","ASPIRIN"
"LOW DOSE ASPIRIN","ASPIRIN"
"HJERDYL","ASPIRIN"
"GODAMED","ASPIRIN"
"GENUINE BAYER ASPIRIN - 325 MG","ASPIRIN"
"GENUINE BAYER ASPIRIN","ASPIRIN"
"GENUINE ASPIRIN","ASPIRIN"
"GENERIC BABY ASPIRIN","ASPIRIN"
"EQUATE ASPIRIN","ASPIRIN"
"ENTERIC-COATED ASPIRIN","ASPIRIN"
"ENTERIC COATED ASPIRIN","ASPIRIN"
"ENTERIC COATED ASA","ASPIRIN"
"ENTERIC ASPIRIN","ASPIRIN"
"EMPIRIN","ASPIRIN"
"ECOTRIN REGULAR STRENGTH","ASPIRIN"
"ECOTRIN","ASPIRIN"
"ECOSPIRIN","ASPIRIN"
"ECOPIRIN","ASPIRIN"
"ECASIL","ASPIRIN"
"DOMINAL /00002701/","ASPIRIN"
"DOMINAL                            /00002701/","ASPIRIN"
"DISPRIN [ACETYLSALICYLIC ACID]","ASPIRIN"
"DISPRIN","ASPIRIN"
"CVS ASPIRIN","ASPIRIN"
"CHILDRENS CHEWABLE ASPIRIN","ASPIRIN"
"CHILDRENS ASPIRIN","ASPIRIN"
"CHILDREN^S ASPIRIN","ASPIRIN"
"CHEWABLE ASPIRIN","ASPIRIN"
"CARTIA                                  /AUS/","ASPIRIN"
"CARTIA (ASPIRIN)","ASPIRIN"
"CARTIA//ACETYLSALICYLIC ACID","ASPIRIN"
"CARTIA (ACETYLSALICYLIC ACID)","ASPIRIN"
"CARDIOPIRIN","ASPIRIN"
"CARDIOASPIRINE","ASPIRIN"
"CARDIOASPIRIN - BAYER S.P.A.","ASPIRIN"
"CARDIOASPIRIN BAYER","ASPIRIN"
"CARDIOASPIRIN (ASA)","ASPIRIN"
"CARDIOASPIRIN (ACETYLSALICYLIC ACID)","ASPIRIN"
"CARDIOASPIRINA? 100MG TABLET","ASPIRIN"
"CARDIOASPIRINA","ASPIRIN"
"CARDIOASPIRIN - 100 MG COMPRESSE GASTRORESISTENTI - BAYER S.P.A.","ASPIRIN"
"CARDIOASPIRIN - 100 MG COMPRESSE GASTRORESISTENTI - BAYER S.P.A","ASPIRIN"
"CARDIOASPIRIN - 100 MG COMPRESSE GASTRORESISTENTI - 4PHARMA S.R.L.","ASPIRIN"
"CARDIOASPIRIN 100 MG COMPRESSE GASTRORESISTENTI","ASPIRIN"
"CARDIOASPIRIN 100 MG - COMPRESSE GASTRORESISTENTI","ASPIRIN"
"CARDIOASPIRIN - 100 MG COMPRESSE GASTRORESISTENTI","ASPIRIN"
"CARDIOASPIRIN 100 MG","ASPIRIN"
"CARDIOASPIRIN","ASPIRIN"
"CARDIASPIRIN","ASPIRIN"
"CARDIASK","ASPIRIN"
"CAPRIN","ASPIRIN"
"BUFFERIN A","ASPIRIN"
"BUFFERIN","ASPIRIN"
"BUFFERED ASPIRIN","ASPIRIN"
"BLINDED *ASPIRIN","ASPIRIN"
"BLINDED ASPIRIN","ASPIRIN"
"BAYER WOMEN^S LOW STRENGTH ASPIRIN REGIMEN","ASPIRIN"
"BAYER PLUS","ASPIRIN"
"BAYER LOW DOSE","ASPIRIN"
"BAYER GENUINE ASPIRIN","ASPIRIN"
"BAYER EXTRA STRENGTH ASPIRIN","ASPIRIN"
"BAYER CHEWABLE LOW DOSE BABY ASPIRIN TABLET ORANGE","ASPIRIN"
"BAYER CHEWABLE LOW DOSE ASPIRIN ORANGE FLAVORED","ASPIRIN"
"BAYER ASPIRIN REGIMEN REGULAR 325 MG STRENGTH","ASPIRIN"
"BAYER ASPIRIN REGIMEN CHEWABLE LOW DOSE ASPIRIN ORANGE","ASPIRIN"
"BAYER ASPIRIN QUICK RELEASE CRYSTALS","ASPIRIN"
"BAYER ASPIRIN CARDIO","ASPIRIN"
"BAYER ASPIRIN 81 MG","ASPIRIN"
"BAYER ASPIRIN","ASPIRIN"
"BAYER ADVANCED ASPIRIN REGULAR STRENGTH","ASPIRIN"
"BAYER ADVANCED ASPIRIN EXTRA STRENGTH","ASPIRIN"
"BAYER 81MG ENTERIC ASPIRIN","ASPIRIN"
"BAYER","ASPIRIN"
"BAYASPIRIN TABLET","ASPIRIN"
"BAYASPIRIN (NON AZ PRODUCT)","ASPIRIN"
"BAYASPIRIN (ASPIRIN)","ASPIRIN"
"BAYASPIRIN (ACETYLSALICYLIC ACID) (ACETYLSALICYLIC ACID)","ASPIRIN"
"BAYASPIRINA","ASPIRIN"
"BAYASPIRIN 100MG","ASPIRIN"
"BAYASPIRIN","ASPIRIN"
"BAYASIPIRIN","ASPIRIN"
"BABY ASPRIN","ASPIRIN"
"BABY ASPIRIN (ACETYLSALICYLIC ACID)","ASPIRIN"
"BABY  ASPIRIN","ASPIRIN"
"BABY ASPIRIN","ASPIRIN"
"BABY ASA","ASPIRIN"
"A YELLOW PILL ASPIRIN A BLOOD THINNER 81 MG","ASPIRIN"
"ASS RATIOPHARM","ASPIRIN"
"ASS ^HEXAL^","ASPIRIN"
"ASS (ASS) (NOT SPECIFIED)","ASPIRIN"
"ASS (ACETYLSALICYLIC ACID)","ASPIRIN"
"ASS 100MG","ASPIRIN"
"ASS 100","ASPIRIN"
"ASPRIN","ASPIRIN"
"ASPIRN 500","ASPIRIN"
"ASPIRN","ASPIRIN"
"ASPIR LOW","ASPIRIN"
"ASPIRIN USA","ASPIRIN"
"ASPIRIN (UNKNOWN)","ASPIRIN"
"ASPIRIN PROTECT 100 ENTERIC COATED TABLET","ASPIRIN"
"ASPIRIN PROTECT 100","ASPIRIN"
"ASPIRIN PROTECT","ASPIRIN"
"ASPIRIN POWDER ^HOEI^","ASPIRIN"
"ASPIRIN (NOS)","ASPIRIN"
"ASPIRIN (NON-AZ STUDY)","ASPIRIN"
"ASPIRIN(NON-AZ PRODUCT)","ASPIRIN"
"ASPIRIN NON-AZ PRODUCT","ASPIRIN"
"ASPIRIN (NON-AZ-PRODUCT)","ASPIRIN"
"ASPIRIN (NON-AZ PRODUCT)","ASPIRIN"
"ASPIRIN (NON AZ PRODUCT)","ASPIRIN"
"ASPIRIN (NON-AZ DRUG)","ASPIRIN"
"ASPIRIN (NON- AZ DRUG)","ASPIRIN"
"ASPIRIN (NON AZ DRUG)","ASPIRIN"
"ASPIRIN N","ASPIRIN"
"ASPIRIN MIGRANE","ASPIRIN"
"ASPIRIN LOW STRENGTH","ASPIRIN"
"ASPIRIN LOW DOSE","ASPIRIN"
"ASPIRIN KAUTABLETTEN","ASPIRIN"
"ASPIRIN (GENERIC)","ASPIRIN"
"ASPIRING","ASPIRIN"
"ASPIRINETTA COMPRESSE","ASPIRIN"
"ASPIRINETTA","ASPIRIN"
"ASPIRINETAS","ASPIRIN"
"ASPIRINE PROTECT 100 MG COMPRIM? GASTRO-R?SISTANT","ASPIRIN"
"ASPIRINE PROTECT","ASPIRIN"
"ASPIRIN ENTERIC COATED K.P.","ASPIRIN"
"ASPIRIN ENTERIC COATED","ASPIRIN"
"ASPIRIN (ENTERIC COATED)","ASPIRIN"
"ASPIRIN ENTERIC","ASPIRIN"
"ASPIRIN EC LOW STRENGTH","ASPIRIN"
"ASPIRINE CARDIO","ASPIRIN"
"ASPIRIN (E.C.) [ACETYLSALICYLIC ACID]","ASPIRIN"
"ASPIRIN E.C","ASPIRIN"
"ASPIRIN (E.C.)","ASPIRIN"
